RMSenergy;pcm_loudness;F0final_sma;voicingFinalClipped_sma;vowel
0.03631152;0.22158179999999997;0.0;0.0;1.0
0.03683959;1.093823;0.0;0.0;1.0
0.03911057;1.501874;0.0;0.0;1.0
0.03739304;0.06082451;0.0;0.0;1.0
0.03751035;1.0193450000000002;0.0;0.0;1.0
0.03792203;0.9715752000000001;0.0;0.0;1.0
0.03931526;0.5930545;0.0;0.0;1.0
0.04216779;0.373185;0.0;0.0;1.0
0.04005887;0.5335698;0.0;0.0;1.0
0.03845333;0.8443891;0.0;0.0;1.0
0.03819478;1.00042;0.0;0.0;1.0
0.03795917;0.245761;0.0;0.0;1.0
0.03889121;1.153232;0.0;0.0;1.0
0.0393429;0.38663559999999997;0.0;0.0;1.0
0.03748373;0.5023922000000001;0.0;0.0;1.0
0.0361868;0.5900509;0.0;0.0;1.0
0.03403355;0.6259348000000001;0.0;0.0;1.0
0.03168578;0.9592963;0.0;0.0;1.0
0.03115585;0.3452592;0.0;0.0;1.0
0.03054395;0.8400379000000001;0.0;0.0;1.0
0.03180368;0.35940300000000003;0.0;0.0;1.0
0.03354168;0.6326603;0.0;0.0;1.0
0.03365979;0.3247812;0.0;0.0;1.0
0.03333331;0.2177055;0.0;0.0;1.0
0.03273762;0.31038150000000003;0.0;0.0;1.0
0.03191069;0.2067996;0.0;0.0;1.0
0.03111629;0.5007157;0.0;0.0;1.0
0.03023655;0.6646736999999999;0.0;0.0;1.0
0.02987785;0.47683679999999995;0.0;0.0;1.0
0.03021914;0.22158179999999997;0.0;0.0;1.0
0.02998275;0.8320879000000001;0.0;0.0;1.0
0.02978273;1.0210860000000002;0.0;0.0;1.0
0.02862784;1.159956;0.0;0.0;1.0
0.02580381;0.5468659;0.0;0.0;1.0
0.02305992;0.26418590000000003;0.0;0.0;1.0
0.02042937;0.32997990000000005;0.0;0.0;1.0
0.018039;0.1261952;0.0;0.0;1.0
0.01605213;0.1069737;0.0;0.0;0.0
0.01445045;0.08690513;0.0;0.0;0.0
0.01319756;0.42086450000000003;0.0;0.0;0.0
0.01217721;0.6074318;0.0;0.0;0.0
0.01093251;0.2667481;0.0;0.0;0.0
0.01034833;0.13443039999999998;0.0;0.0;0.0
0.01023334;0.44430200000000003;0.0;0.0;0.0
0.01078633;0.6259348000000001;0.0;0.0;0.0
0.01219166;0.2430536;0.0;0.0;0.0
0.0131893;0.3157375;0.0;0.0;0.0
0.01380555;0.28506129999999996;0.0;0.0;0.0
0.01381278;0.07562116;0.0;0.0;0.0
0.01344301;0.28261090000000005;0.0;0.0;0.0
0.01307379;0.29072509999999996;0.0;0.0;0.0
0.01233731;0.4883048;0.0;0.0;1.0
0.0121445;0.3210337;0.0;0.0;1.0
0.011994;0.5568285;0.0;0.0;1.0
0.01157821;0.5018338;0.0;0.0;1.0
0.01158572;0.5463383;0.0;0.0;1.0
0.01105315;0.3380408;0.0;0.0;1.0
0.01055952;0.14871729999999997;0.0;0.0;1.0
0.009985063;0.298691;0.0;0.0;1.0
0.009588044;0.13577020000000004;0.0;0.0;1.0
0.009338091;0.47161590000000003;0.0;0.0;1.0
0.009287005;0.2866871;0.0;0.0;1.0
0.009585474;0.3065178;0.0;0.0;1.0
0.009784157;0.5276491;0.0;0.0;1.0
0.01009681;0.3614926;0.0;0.0;1.0
0.0100902;0.24214670000000002;0.0;0.0;0.0
0.00979514;0.1880703;0.0;0.0;0.0
0.009259719;0.32028070000000003;0.0;0.0;0.0
0.009110201;0.32997990000000005;0.0;0.0;0.0
0.009077763;0.08509449;0.0;0.0;0.0
0.009073527;0.27517290000000005;0.0;0.0;0.0
0.009395987;0.2817909;0.0;0.0;0.0
0.009483842;0.36426620000000004;0.0;0.0;0.0
0.009063068;0.3002672;0.0;0.0;0.0
0.009390579;0.05851422;0.0;0.0;0.0
0.01039158;0.4592809;0.0;0.0;0.0
0.01176086;0.1815464;0.0;0.0;0.0
0.0139238;0.7019621;0.0;0.0;0.0
0.01567819;0.1449145;0.0;0.0;0.0
0.01774171;0.24665900000000002;0.0;0.0;0.0
0.01865102;0.27433820000000003;0.0;0.0;0.0
0.02063018;0.21867889999999998;0.0;0.0;0.0
0.02311532;0.7414243;0.0;0.0;0.0
0.02482572;0.6336170999999999;0.0;0.0;1.0
0.02683024;0.01152409;0.0;0.0;1.0
0.02731393;0.33071809999999996;0.0;0.0;1.0
0.02687689;0.1146202;0.0;0.0;1.0
0.02596235;0.8828999;0.0;0.0;1.0
